Exercise;Difficulty;Muscle_Group
Stability_Ball_Dead_Bug;Beginner;Abdominals
Glute_Bridge;Beginner;Glutes
Bird_Dog;Beginner;Abdominals
Stability_Ball_Seated_Russian_Twist_;Beginner;Abdominals
Stability_Ball_Feet_Elevated_Crunch_;Beginner;Abdominals
Ring_Hanging_Knee_Raise_;Intermediate;Abdominals
Parallette_Mountain_Climber;Novice;Abdominals
Parallette_Push_Up;Novice;Chest
Knee_Hover_Bird_Dog;Intermediate;Abdominals
Stability_Ball_Pass;Novice;Abdominals
Dead_Bug;Beginner;Abdominals
Alternating_Heel_Taps;Beginner;Abdominals
Flutter_Kicks;Beginner;Abdominals
Kneeling_Plank;Beginner;Abdominals
Seated_Ab_Circles;Novice;Abdominals
Ring_Hanging_Oblique_Knee_Raise;Intermediate;Abdominals
Stability_Ball_Stir_The_Pot;Novice;Abdominals
Alternating_Side_Kick_Through;Intermediate;Abdominals
Ring_L_Hang_Flutter_Kicks_;Intermediate;Abdominals
Slam_Ball_Russian_Twist;Intermediate;Abdominals
Dumbbell_Otis_Up;Novice;Abdominals
Single_Arm_Dumbbell_Side_Plank_Reach_Through_;Advanced;Abdominals
Ab_Wheel_Kneeling_Rollout;Novice;Abdominals
Cable_Seated_Crunch;Novice;Abdominals
Cable_Kneeling_Crunch;Novice;Abdominals
Medicine_Ball_V-Up;Novice;Abdominals
Suspension_Knee_Tuck;Novice;Abdominals
Suspension_Lateral_Knee_Tuck;Intermediate;Abdominals
Push_Up_Alternating_Kick_Through;Intermediate;Chest
Single_Arm_Dumbbell_Turkish_Get_Up;Intermediate;Abdominals
Bear_Crawl;Novice;Abdominals
Stability_Ball_Knee_Tuck;Novice;Abdominals
Ring_Hanging_Leg_Raise_;Advanced;Abdominals
Parallette_L_Sit;Advanced;Abdominals
Standing_Walkout_Plank;Intermediate;Abdominals
Standing_Walkout_Push-Up_;Intermediate;Chest
Barbell_Climb;Expert;Abdominals
Ipsilateral_Bird_Dog;Expert;Abdominals
Copenhagen_Plank_Knee_to_Elbow;Expert;Adductors
Ring_Dead_Hang;Beginner;Back
Suspension_Archer_Row_;Novice;Shoulders
Suspension_Alternating_Archer_Row_Hold_;Novice;Shoulders
Ring_Pull_Up_Eccentrics_;Novice;Back
Ring_Pull_Up;Intermediate;Back
Ring_Chin_Up_Eccentrics_;Novice;Biceps
Miniband_Fire_Hydrant;Beginner;Glutes
Medicine_Ball_Russian_Twist;Novice;Abdominals
Side_Plank;Novice;Abdominals
Cable_Reverse_Ankle_Strap_Crunch;Intermediate;Abdominals
Cable_Half_Kneeling_High_to_Low_Chop;Intermediate;Abdominals
Cable_Half_Kneeling_Low_to_High_Chop;Intermediate;Abdominals
Kettlebell_Half_Kneeling_Low_to_High_Chop;Intermediate;Abdominals
Cable_Standing_High_to_Low_Chop_;Intermediate;Abdominals
Cable_Standing_Low_to_High_Chop;Intermediate;Abdominals
Single_Arm_Dumbbell_Windmill;Intermediate;Abdominals
Single_Arm_Kettlebell_Windmill;Intermediate;Abdominals
Kettlebell_Russian_Twist;Novice;Abdominals
Feet_On_Wall_Mountain_Climber_;Expert;Abdominals
Alternating_Single_Arm_Kettlebell_Plank_Pull_Through;Intermediate;Abdominals
Hollow_Body_Hold;Intermediate;Abdominals
Dumbbell_Crush_Grip_Hollow_Body_Hold;Intermediate;Abdominals
Inverted_Hanging_Crunch;Expert;Abdominals
Inverted_Hanging_Oblique_Crunch;Expert;Abdominals
Single_Arm_Kettlebell_Single_Leg_Standing_Bent_Knee_Around_The_World_;Intermediate;Abdominals
Supine_Alternating_Single_Leg_Raise;Beginner;Abdominals
Supine_Leg_Raise;Novice;Abdominals
Miniband_Bicycle_Crunch;Novice;Abdominals
Side_Plank_Reach_Through;Novice;Abdominals
Sit_Up;Novice;Abdominals
Butterfly_Sit_Up;Intermediate;Abdominals
Slider_Mountain_Climber;Novice;Abdominals
Slider_Pike_;Advanced;Abdominals
Stability_Ball_Pike;Advanced;Abdominals
Slider_Wide_Mountain_Climber;Intermediate;Abdominals
Stability_Ball_Crunch;Beginner;Abdominals
Stability_Ball_Feet_Elevated_Oblique_Crunch;Beginner;Abdominals
Stability_Ball_Kneeling_Rollout;Beginner;Abdominals
Stability_Ball_Single_Leg_Knee_Tuck;Advanced;Abdominals
Stability_Ball_Single_Leg_Pike;Expert;Abdominals
Parallette_Kneeling_Push_Up;Novice;Chest
Single_Arm_Kettlebell_Swing;Novice;Glutes
Dumbbell_Romanian_Deadlift;Beginner;Hamstrings
Single_Arm_Dumbbell_Side_Plank;Intermediate;Abdominals
Single_Leg_Glute_Bridge;Novice;Glutes
Dumbbell_Glute_Bridge;Beginner;Glutes
Glute_Bridge_Alternating_Single_Leg_Extension;Beginner;Glutes
Miniband_Side_Lying_Clamshell;Beginner;Glutes
Miniband_Side_Lying_Hip_Abduction;Beginner;Abductors
Miniband_Bench_Seated_Hip_Abduction;Beginner;Abductors
Miniband_Glute_Bridge_With_Hip_Abduction;Beginner;Glutes
Stability_Ball_Hip_Thrust;Beginner;Glutes
Stability_Ball_Dumbbell_Hip_Thrust;Beginner;Glutes
Bodyweight_Frog_Pump;Beginner;Glutes
Dumbbell_Frog_Pump;Beginner;Glutes
Cable_Glute_Kickback;Novice;Glutes
Foot_Elevated_Single_Leg_Glute_Bridge;Novice;Glutes
Suspension_Glute_Bridge;Novice;Glutes
Miniband_Thigh_Lateral_Walk;Beginner;Abductors
Miniband_Shin_Lateral_Walk;Novice;Abductors
Miniband_Feet_Lateral_Walk;Intermediate;Abductors
Miniband_Standing_Glute_Kickback;Novice;Glutes
Barbell_Hip_Thrust;Novice;Glutes
Barbell_Single_Leg_Hip_Thrust;Intermediate;Glutes
Stability_Ball_Single_Leg_Glute_Bridge;Intermediate;Glutes
Miniband_Standing_Hip_Abduction;Novice;Abductors
Miniband_3-Way_Cha_Cha;Beginner;Abductors
Barbell_Standing_Calf_Raise;Intermediate;Calves
Cable_Hip_Abduction;Novice;Abductors
Miniband_Wall_Sit_Hip_Abduction;Novice;Quadriceps
Barbell_Overhead_Adductor_Slide;Intermediate;Adductors
Stability_Ball_T's_Y's_I's_;Beginner;Shoulders
Resistance_Band_Standing_Reverse_Fly;Beginner;Shoulders
Resistance_Band_Lateral_Raise;Beginner;Shoulders
Dumbbell_Lateral_Raise;Beginner;Shoulders
Single_Arm_Resistance_Band_Standing_Shoulder_External_Rotation;Beginner;Shoulders
Dumbbell_Seated_Lateral_Raise;Beginner;Shoulders
Pike_Push_Up;Intermediate;Shoulders
Single_Arm_Dumbbell_Side_Lying_Shoulder_External_Rotation;Beginner;Shoulders
Single_Arm_Dumbbell_Seated_Shoulder_External_Rotation;Novice;Shoulders
Miniband_Standing_Shoulder_External_Rotation;Beginner;Shoulders
Dumbbell_Seated_Cuban_Rotation;Novice;Shoulders
Dumbbell_Standing_Cuban_Rotation;Novice;Shoulders
Single_Arm_Cable_Half_Kneeling_Shoulder_External_Rotation_90_Degrees;Novice;Shoulders
Single_Arm_Dumbbell_Side_Lying_Shoulder_Internal_Rotation;Beginner;Shoulders
Parallette_Feet_Elevated_Pike_Push_Up_;Intermediate;Shoulders
Barbell_Thruster;Intermediate;Shoulders
Parallette_Wall_Supported_Handstand_Push_Up;Expert;Shoulders
Barbell_Sots_Press;Intermediate;Shoulders
Single_Arm_Dumbbell_V_Sit_Shoulder_Press_;Intermediate;Shoulders
Dumbbell_Z_Press;Intermediate;Shoulders
Single_Arm_Dumbbell_Z_Press;Intermediate;Shoulders
Stability_Ball_Dumbbell_Arnold_Press;Beginner;Shoulders
Single_Arm_Dumbbell_Half_Kneeling_Overhead_Press;Novice;Shoulders
Single_Arm_Cable_Lateral_Raise;Novice;Shoulders
Dumbbell_Thruster;Novice;Shoulders
Single_Arm_Dumbbell_Thruster;Novice;Shoulders
Parallette_Handstand_Push_Up;Master;Shoulders
Dumbbell_Seated_Overhead_Press;Beginner;Shoulders
Dumbbell_Overhead_Press;Beginner;Shoulders
Single_Arm_Dumbbell_Overhead_Carry;Intermediate;Shoulders
Freestanding_Handstand_Push_Up;Master;Shoulders
Barbell_Shrug;Novice;Trapezius
Dumbbell_Shrug;Beginner;Trapezius
Cable_Standing_Face_Pull;Novice;Shoulders
Cable_Seated_Face_Pull;Novice;Shoulders
Dumbbell_Standing_Scaption;Beginner;Shoulders
Dumbbell_Seated_Scaption;Beginner;Shoulders
Stability_Ball_Dumbbell_Seated_Scaption;Beginner;Shoulders
Cable_Standing_Knee_Strap_Hip_External_Rotation_(90_Degrees);Novice;Glutes
Cable_Hip_External_Rotation;Novice;Glutes
Dumbbell_Bicep_Curl;Beginner;Biceps
Dumbbell_Alternating_Bicep_Curl;Beginner;Biceps
Dumbbell_Alternating_Hammer_Curl;Beginner;Biceps
Dumbbell_Alternating_Cross_Body_Hammer_Curl;Beginner;Biceps
Cable_Guillotine_Curl;Novice;Biceps
Cable_Supine_Bicep_Curl;Novice;Biceps
Single_Arm_Dumbbell_Incline_Bench_Preacher_Curl;Beginner;Biceps
Dumbbell_Crush_Grip_Bicep_Curl;Beginner;Biceps
Dumbbell_Zottman_Curl;Beginner;Biceps
Dumbbell_Waiter_Curl;Beginner;Biceps
High_Cable_Straight_Bar_Bicep_Curl;Novice;Biceps
Cable_Straight_Bar_Drag_Curl;Beginner;Biceps
Dumbbell_Spider_Curl;Novice;Biceps
EZ_Bar_Spider_Curl;Novice;Biceps
Parallette_Side_Plank;Intermediate;Abdominals
Parallette_Feet_Elevated_Push_Up;Intermediate;Chest
Parallette_Side_Plank_Reach_Through;Intermediate;Abdominals
Parallette_Plank_Single_Arm_Dumbbell_Row;Intermediate;Back
Stability_Ball_Cable_Preacher_Curl;Novice;Biceps
